timestamp,ear,mar,pitch,yaw,state
1784610104.258,0.4425,0.3045,-5.48,1.36,focused
1784610104.756,0.4804,0.3040,-3.50,1.17,focused
1784610105.256,0.5424,0.3048,-8.04,24.78,focused
1784610105.755,0.1340,0.3078,-12.47,22.52,fatigued
1784610106.258,0.4622,0.3005,-10.89,-2.21,focused
1784610106.756,0.4558,0.3002,-5.12,-3.29,focused
1784610107.257,0.4728,0.3063,-3.79,0.06,focused
1784610107.757,0.4587,0.3028,-4.43,-0.86,focused
1784610108.259,0.4877,0.3028,-3.57,-0.64,focused
1784610108.756,0.4650,0.3031,-3.84,-0.93,focused
1784610109.259,0.4830,0.3030,-3.53,-0.43,focused
