timestamp,ear,mar,pitch,yaw,state
1784613520.464,0.4161,0.3064,-7.66,-0.68,distracted
1784613520.726,0.4126,0.3184,-0.31,0.09,focused
1784613520.795,0.1721,0.3209,-2.55,-0.03,distracted
1784613521.261,0.4883,0.3164,-0.50,0.52,focused
1784613521.761,0.5378,0.3135,0.13,0.48,focused
1784613522.266,0.5242,0.3129,-0.34,1.57,focused
1784613522.760,0.5283,0.3172,-0.84,0.11,focused
1784613523.266,0.5199,0.3100,-0.95,-0.20,focused
1784613523.765,0.5223,0.3094,-0.91,-0.31,focused
1784613524.265,0.3861,0.3118,-2.46,-0.00,distracted
1784613524.765,0.4879,0.3101,-0.93,-0.15,focused
1784613525.265,0.5204,0.2987,-6.76,-0.54,distracted
1784613525.766,0.5305,0.2908,-13.49,-1.22,distracted
1784613526.266,0.5039,0.2908,-12.07,-0.86,distracted
1784613526.766,0.4467,0.3045,-9.34,-0.56,distracted
1784613527.264,0.4479,0.3112,-3.14,0.55,distracted
1784613527.768,0.4746,0.3081,-2.57,-0.38,distracted
1784613528.268,0.4457,0.3103,-1.67,-0.75,distracted
1784613528.760,0.4801,0.3118,-0.51,-0.48,focused
1784613529.267,0.2880,0.3100,-2.54,-0.46,distracted
1784613529.763,0.4583,0.3104,-0.70,-0.75,focused
1784613530.265,0.4731,0.3119,-1.10,-0.01,distracted
1784613530.765,0.5184,0.3091,-0.94,-0.50,focused
1784613531.295,0.4122,0.3173,-2.82,0.49,distracted
1784613531.763,0.5499,0.3137,0.97,-0.68,focused
1784613532.262,0.4357,0.3209,-0.64,-0.24,focused
1784613532.761,0.5462,0.3113,3.30,0.09,distracted
1784613533.264,0.5665,0.3113,1.71,-0.14,distracted
1784613533.762,0.5043,0.3145,-2.47,0.39,distracted
1784613534.261,0.4153,0.3218,0.02,0.61,focused
1784613534.766,0.4026,0.3216,0.19,1.35,focused
1784613535.265,0.5205,0.3173,3.21,0.49,distracted
1784613535.768,0.4928,0.3159,1.89,0.42,distracted
1784613536.263,0.4377,0.3248,0.81,0.26,focused
1784613536.766,0.4604,0.3164,2.72,0.71,distracted
1784613537.268,0.4376,0.3182,1.68,0.71,distracted
1784613537.768,0.4008,0.3205,1.11,1.22,distracted
1784613538.268,0.4749,0.3189,4.20,0.90,distracted
1784613538.768,0.4388,0.3196,1.69,1.32,distracted
1784613539.268,0.4952,0.3178,3.80,0.62,distracted
1784613539.769,0.3350,0.3181,2.05,1.33,distracted
1784613540.268,0.3804,0.3191,1.93,1.38,distracted
1784613540.767,0.4127,0.3176,2.29,1.03,distracted
1784613541.268,0.5141,0.3167,4.80,0.60,distracted
1784613541.767,0.4509,0.3217,5.00,1.62,distracted
1784613542.267,0.3999,0.3235,4.64,0.84,distracted
1784613542.769,0.3979,0.3195,5.12,1.97,distracted
1784613543.265,0.5139,0.3161,7.29,0.37,distracted
1784613543.766,0.4960,0.3184,6.41,1.24,distracted
1784613544.263,0.4211,0.3206,3.50,1.00,distracted
1784613544.769,0.4887,0.3206,6.02,0.60,distracted
1784613545.263,0.5103,0.3196,6.52,0.87,distracted
1784613545.767,0.4035,0.3202,5.22,1.49,distracted
1784613546.268,0.5083,0.3189,7.17,1.14,distracted
1784613546.769,0.4565,0.3221,5.70,1.10,distracted
1784613547.270,0.4288,0.3222,6.05,0.92,distracted
1784613547.768,0.5043,0.3183,6.33,1.44,distracted
1784613548.270,0.4213,0.3210,4.58,1.25,distracted
1784613548.770,0.3572,0.3183,2.95,1.33,distracted
1784613549.270,0.4851,0.3201,6.72,1.12,distracted
1784613549.770,0.4139,0.3179,3.78,0.66,distracted
1784613550.270,0.4071,0.3215,3.65,0.94,distracted
1784613550.768,0.4183,0.3208,4.59,1.06,distracted
1784613551.271,0.3935,0.3237,4.93,0.78,distracted
1784613551.770,0.3951,0.3221,4.65,0.89,distracted
1784613552.269,0.4885,0.3206,6.81,1.05,distracted
1784613552.770,0.4137,0.3216,4.63,0.90,distracted
1784613553.271,0.4010,0.3217,4.05,0.67,distracted
1784613553.770,0.4705,0.3197,5.87,0.45,distracted
1784613554.270,0.4839,0.3228,6.54,0.81,distracted
1784613554.771,0.4114,0.3229,4.16,0.88,distracted
1784613555.269,0.4009,0.3240,5.42,0.60,distracted
1784613555.768,0.4342,0.3227,6.98,0.94,distracted
1784613556.269,0.4011,0.3220,5.55,0.25,distracted
1784613556.770,0.3875,0.3221,5.56,1.06,distracted
1784613557.270,0.5156,0.3221,7.99,0.44,distracted
1784613557.771,0.4086,0.3236,6.34,0.63,distracted
1784613558.272,0.4162,0.3207,4.66,0.86,distracted
1784613558.770,0.4480,0.3180,6.75,0.08,distracted
1784613559.272,0.4213,0.3245,5.55,0.71,distracted
1784613559.772,0.4689,0.3201,6.56,0.22,distracted
1784613560.271,0.4298,0.3232,6.00,0.56,distracted
1784613560.772,0.4982,0.3203,6.72,0.37,distracted
1784613561.272,0.2007,0.3220,3.38,0.65,distracted
1784613561.766,0.3985,0.3228,4.70,-0.16,distracted
1784613562.272,0.5010,0.3187,7.42,-0.24,distracted
1784613562.740,0.4412,0.3225,5.92,0.08,distracted
1784613563.271,0.5046,0.3207,7.81,-0.20,distracted
1784613563.774,0.4159,0.3287,5.32,0.16,distracted
1784613564.271,0.4982,0.3215,6.00,0.24,distracted
1784613564.771,0.5092,0.3201,7.07,0.20,distracted
1784613565.240,0.4130,0.3234,5.83,0.02,distracted
1784613565.766,0.4941,0.3215,7.09,0.33,distracted
1784613566.271,0.4933,0.3216,7.06,0.52,distracted
1784613566.768,0.4862,0.3205,6.80,0.64,distracted
1784613567.241,0.4903,0.3206,6.91,0.56,distracted
1784613567.772,0.4342,0.3224,5.52,0.62,distracted
1784613568.272,0.4686,0.3201,3.37,-0.50,distracted
1784613568.772,0.4972,0.3174,0.37,-0.32,focused
1784613569.240,0.5025,0.3131,2.25,-0.67,distracted
1784613569.773,0.4807,0.3176,1.85,-0.12,distracted
1784613570.270,0.4997,0.3154,1.53,-0.05,distracted
1784613570.741,0.0742,0.3191,-0.20,-0.06,fatigued
1784613571.271,0.4579,0.3167,2.93,-0.24,distracted
1784613571.773,0.4472,0.3223,4.42,-0.15,distracted
1784613572.273,0.5130,0.2952,-1.04,-18.53,distracted
1784613572.773,0.5297,0.2890,-5.09,-15.53,distracted
1784613573.240,0.5044,0.2907,-12.84,-8.21,distracted
1784613573.740,0.4593,0.3022,-8.26,-0.99,distracted
1784613574.240,0.5244,0.2983,-0.02,-17.58,focused
1784613574.768,0.5610,0.2887,-0.32,-25.38,fatigued
1784613575.242,0.5330,0.2956,0.23,-21.38,focused
1784613575.741,0.5559,0.2932,-1.81,-20.50,distracted
1784613576.241,0.5537,0.2882,-9.04,-17.57,distracted
1784613576.741,0.5324,0.2781,-16.22,-15.47,distracted
1784613577.241,0.5058,0.2726,-17.51,-16.43,distracted
1784613577.741,0.4818,0.2950,-13.18,1.14,distracted
1784613578.242,0.4889,0.3088,-2.99,-0.76,distracted
1784613578.742,0.4523,0.3165,1.12,-1.47,distracted
1784613579.242,0.4535,0.3123,1.19,-1.73,distracted
1784613579.740,0.4741,0.3140,1.19,-1.92,distracted
