timestamp,ear,mar,pitch,yaw,state
1784610181.755,0.4246,0.2979,-23.57,-7.91,distracted
1784610182.048,0.4424,0.3045,-19.81,-6.08,focused
1784610182.151,0.4263,0.3073,-19.87,-4.12,focused
1784610182.447,0.4364,0.3155,-16.84,-4.40,focused
1784610182.949,0.4567,0.3118,-10.13,-3.01,focused
1784610183.454,0.4870,0.3041,-5.67,-2.34,focused
1784610183.951,0.4369,0.3069,-8.60,-3.18,focused
1784610184.452,0.4585,0.3109,-6.61,-1.40,focused
1784610184.954,0.1249,0.3034,-10.30,-2.67,fatigued
1784610185.451,0.4435,0.3104,-5.42,-0.50,focused
1784610185.953,0.3874,0.3082,-7.46,-3.18,focused
1784610186.450,0.3939,0.3050,-16.03,-1.97,focused
1784610186.950,0.3926,0.2979,-18.34,-4.38,focused
1784610187.448,0.3771,0.2994,-26.14,-6.94,distracted
1784610187.950,0.3610,0.3093,-30.00,-9.81,distracted
1784610188.449,0.4184,0.2930,-24.29,-6.20,distracted
1784610188.982,0.4102,0.2803,-34.84,-3.84,distracted
1784610189.453,0.3705,0.2907,-32.72,-1.08,distracted
1784610189.952,0.4331,0.2890,-31.76,-0.19,distracted
1784610190.455,0.3748,0.3001,-29.88,1.44,distracted
1784610190.980,0.3765,0.3035,-26.78,1.60,distracted
1784610191.453,0.4302,0.2849,-29.90,-1.74,distracted
1784610191.952,0.3897,0.3032,-22.17,1.63,distracted
1784610192.453,0.4056,0.3142,-18.40,4.65,focused
1784610192.954,0.4176,0.3245,-19.60,1.66,focused
1784610193.456,0.4295,0.3218,-18.81,2.14,focused
1784610193.952,0.4037,0.3176,-17.86,2.05,focused
1784610194.449,0.4341,0.3212,-17.63,0.96,focused
1784610194.952,0.4282,0.3214,-18.29,1.92,focused
1784610195.453,0.4148,0.3170,-21.31,2.98,distracted
1784610195.952,0.4353,0.3118,-21.25,2.87,distracted
1784610196.456,0.4295,0.2989,-25.70,1.16,distracted
1784610196.954,0.3965,0.2793,-30.73,-3.50,distracted
1784610197.456,0.3151,0.2842,-26.61,-2.53,distracted
1784610197.956,0.3505,0.2983,-22.22,-1.73,distracted
1784610198.457,0.3849,0.2978,-17.29,-0.80,focused
1784610198.952,0.3415,0.2999,-17.67,-2.67,focused
1784610199.454,0.4350,0.3008,-17.01,-3.01,focused
