timestamp,ear,mar,pitch,yaw,state
1784614075.023,0.3787,0.2943,-2.38,-0.99,fatigued
1784614075.285,0.4066,0.3227,0.41,-0.57,focused
1784614075.352,0.4241,0.3206,0.02,-0.50,focused
1784614075.819,0.4374,0.3237,1.15,1.57,focused
1784614076.319,0.4196,0.3081,-0.38,-0.39,focused
1784614076.822,0.4058,0.3149,1.10,2.72,focused
1784614077.324,0.4208,0.3231,1.03,0.47,focused
1784614077.822,0.3858,0.3206,-4.69,-0.51,focused
1784614078.324,0.4073,0.3284,-4.33,-3.46,focused
1784614078.822,0.4206,0.3274,-2.92,-2.24,focused
1784614079.296,0.4193,0.3276,-1.18,-2.97,focused
1784614079.824,0.4396,0.3154,-2.65,-0.20,focused
1784614080.324,0.4324,0.2996,-10.64,-4.47,fatigued
1784614080.824,0.4017,0.2952,-15.31,-5.55,distracted
1784614081.324,0.4295,0.3003,-12.92,-3.29,fatigued
1784614081.821,0.4370,0.3073,-10.53,-0.88,focused
1784614082.322,0.4308,0.2939,-9.78,-0.82,fatigued
1784614082.822,0.4443,0.2887,-10.79,-1.36,fatigued
1784614083.324,0.4278,0.2971,-10.82,0.87,fatigued
1784614083.824,0.4734,0.3193,-6.55,-1.84,focused
1784614084.321,0.4408,0.3015,-9.68,-1.87,fatigued
1784614084.823,0.4594,0.3015,-9.27,-3.19,fatigued
1784614085.323,0.4384,0.2955,-10.13,-1.88,fatigued
1784614085.826,0.4179,0.2923,-14.69,-4.94,distracted
1784614086.325,0.3635,0.2967,-13.24,-4.33,fatigued
1784614086.825,0.3229,0.2973,-11.28,-3.03,fatigued
1784614087.325,0.4244,0.3020,-8.23,-5.49,fatigued
1784614087.825,0.4380,0.2981,-9.30,-4.93,fatigued
1784614088.324,0.4281,0.3153,-6.72,2.40,focused
1784614088.825,0.4332,0.3019,-7.78,-2.47,fatigued
1784614089.324,0.3356,0.3010,-5.12,-2.21,fatigued
1784614089.825,0.4494,0.2940,-6.11,-4.02,fatigued
1784614090.323,0.4458,0.2953,-6.82,-4.09,fatigued
1784614090.826,0.4539,0.2952,-7.85,-3.40,fatigued
1784614091.326,0.4434,0.2990,-7.72,-3.75,fatigued
1784614091.820,0.4447,0.2987,-6.77,-1.28,fatigued
1784614092.324,0.3471,0.2971,-9.78,-1.84,fatigued
1784614092.827,0.4419,0.3019,-7.16,-4.60,fatigued
1784614093.295,0.4381,0.2994,-8.15,-3.69,fatigued
1784614093.825,0.4387,0.2957,-9.26,-4.15,fatigued
1784614094.324,0.4127,0.3005,-6.08,-4.11,fatigued
1784614094.827,0.4419,0.3043,-7.47,-2.77,focused
1784614095.325,0.4087,0.3043,-8.07,-3.49,focused
1784614095.826,0.4113,0.3087,-7.11,-2.74,focused
1784614096.325,0.4192,0.3055,-7.22,-1.59,focused
