timestamp,ear,mar,pitch,yaw,state
1784611969.360,0.5067,0.3199,-2.74,2.50,focused
1784611969.689,0.4658,0.3166,-3.77,1.85,focused
1784611969.790,0.4663,0.3157,-4.20,2.09,focused
1784611969.923,0.4653,0.3157,-4.30,1.86,focused
1784611970.423,0.4749,0.3167,-5.70,1.80,focused
1784611970.929,0.5105,0.3142,-5.46,1.41,focused
1784611971.429,0.4899,0.3105,-3.16,0.07,focused
1784611971.928,0.4749,0.3112,-3.59,0.50,focused
1784611972.423,0.4783,0.3107,-2.88,0.95,focused
1784611972.929,0.3666,0.3107,-2.88,0.95,focused
1784611973.423,0.4524,0.3117,-2.46,0.60,focused
1784611973.928,0.4719,0.3139,-2.66,0.64,focused
1784611974.423,0.4383,0.3129,-2.94,0.46,focused
1784611974.926,0.4713,0.3179,-3.50,0.80,focused
1784611975.427,0.4722,0.3198,-1.91,1.04,focused
1784611975.927,0.4553,0.3212,-0.46,1.27,focused
1784611976.427,0.4620,0.3196,-1.18,1.30,focused
1784611976.925,0.4743,0.3195,-1.69,1.33,focused
1784611977.426,0.4229,0.3200,-2.43,1.90,focused
1784611977.925,0.5015,0.3175,1.22,1.06,focused
1784611978.423,0.4975,0.3149,0.59,1.43,focused
1784611978.922,0.4647,0.3164,-1.89,0.61,focused
1784611979.427,0.5003,0.2893,-4.04,-1.58,fatigued
1784611979.923,0.4114,0.2970,-4.48,-0.30,focused
1784611980.423,0.3961,0.3181,-1.72,0.81,focused
1784611980.929,0.3544,0.3138,-1.14,0.44,focused
1784611981.425,0.4497,0.3112,-1.08,0.78,focused
1784611981.930,0.4354,0.3103,2.39,-0.12,focused
1784611982.429,0.4625,0.3113,9.24,-1.96,focused
1784611982.926,0.4716,0.3119,-5.42,0.35,focused
1784611983.431,0.4718,0.3110,-7.92,1.20,focused
1784611983.930,0.4446,0.3152,-0.74,0.56,focused
1784611984.429,0.4303,0.3163,-4.64,0.73,focused
1784611984.930,0.4224,0.3185,-1.46,0.79,focused
1784611985.429,0.4689,0.3153,1.59,0.60,focused
1784611985.930,0.4629,0.3180,0.86,0.84,focused
1784611986.430,0.4477,0.3161,0.22,1.37,focused
1784611986.930,0.4626,0.3173,1.24,0.92,focused
1784611987.431,0.4159,0.3207,0.19,1.32,focused
1784611987.926,0.4472,0.3132,-0.87,0.80,focused
1784611988.429,0.4422,0.3141,-1.16,0.85,focused
1784611988.924,0.4586,0.3109,0.33,0.18,focused
1784611989.430,0.3913,0.3184,0.81,1.49,focused
1784611989.925,0.4767,0.3108,0.92,1.13,focused
1784611990.425,0.3985,0.3166,0.95,0.78,focused
1784611990.931,0.4585,0.3167,0.80,0.53,focused
1784611991.431,0.4642,0.3087,1.18,0.03,focused
1784611991.929,0.4190,0.3145,0.39,0.61,focused
1784611992.426,0.4156,0.3144,1.65,0.38,focused
1784611992.932,0.3987,0.3181,1.10,1.18,focused
1784611993.431,0.4942,0.3109,2.44,0.85,focused
1784611993.931,0.4655,0.3092,2.03,0.58,focused
1784611994.432,0.4576,0.3081,1.49,-0.42,focused
1784611994.930,0.3986,0.3186,1.52,0.78,focused
1784611995.431,0.5118,0.3146,4.37,0.79,focused
1784611995.931,0.4008,0.3172,1.78,1.13,focused
1784611996.432,0.3972,0.3202,2.28,1.38,focused
1784611996.932,0.4890,0.3162,3.68,1.33,focused
1784611997.432,0.4856,0.3165,5.24,1.18,focused
1784611997.932,0.4733,0.3190,3.49,1.27,focused
1784611998.432,0.4780,0.3164,4.71,1.05,focused
1784611998.932,0.4649,0.3146,4.07,0.92,focused
1784611999.430,0.4735,0.3163,4.02,1.21,focused
1784611999.932,0.4539,0.3169,1.87,1.50,focused
1784612000.428,0.4764,0.3120,3.98,0.50,focused
1784612000.933,0.4685,0.3128,4.56,0.44,focused
1784612001.432,0.4810,0.3201,2.99,2.02,focused
1784612001.932,0.4725,0.3150,3.10,1.07,focused
1784612002.429,0.4672,0.3130,2.72,1.17,focused
1784612002.928,0.4706,0.3133,2.87,1.22,focused
1784612003.427,0.4202,0.3181,2.49,1.60,focused
1784612003.926,0.4521,0.3134,4.63,0.47,focused
1784612004.431,0.4583,0.3107,3.80,0.74,focused
1784612004.932,0.4923,0.3173,4.04,0.83,focused
1784612005.433,0.4825,0.3149,4.67,0.44,focused
1784612005.930,0.4870,0.3166,4.09,0.69,focused
1784612006.433,0.5004,0.3149,4.36,0.41,focused
1784612006.934,0.4809,0.3115,3.02,0.26,focused
1784612007.431,0.4181,0.3189,2.70,0.53,focused
1784612007.928,0.4815,0.3148,3.53,0.85,focused
1784612008.432,0.4971,0.3130,3.10,0.56,focused
1784612008.932,0.4204,0.3173,2.74,0.80,focused
1784612009.432,0.5001,0.3129,3.69,0.82,focused
1784612009.930,0.4058,0.3141,3.36,1.08,focused
1784612010.466,0.4650,0.3124,3.86,1.41,focused
1784612010.930,0.4087,0.3202,3.74,1.71,focused
1784612011.433,0.4781,0.3145,3.95,0.54,focused
1784612011.931,0.4441,0.3165,4.15,1.03,focused
1784612012.432,0.4584,0.3142,4.08,1.05,focused
1784612012.934,0.4595,0.3164,3.43,2.03,focused
1784612013.434,0.4639,0.3131,3.01,1.15,focused
1784612013.932,0.4535,0.3103,1.82,1.40,focused
1784612014.432,0.4601,0.3124,2.45,1.82,focused
1784612014.932,0.4332,0.3206,1.46,1.91,focused
1784612015.432,0.4050,0.3181,2.10,0.97,focused
1784612015.933,0.4832,0.3133,3.45,0.61,focused
1784612016.464,0.4692,0.3138,3.26,0.93,focused
1784612016.931,0.4207,0.3179,2.37,1.62,focused
1784612017.434,0.4746,0.3160,4.65,0.88,focused
1784612017.934,0.4841,0.3141,1.99,1.63,focused
1784612018.431,0.4329,0.3139,1.86,1.01,focused
1784612018.934,0.4206,0.3134,2.26,1.01,focused
1784612019.428,0.3868,0.3191,2.34,1.94,focused
1784612019.933,0.4785,0.3173,4.17,1.14,focused
1784612020.430,0.4671,0.3164,4.31,1.66,focused
1784612020.934,0.4574,0.3143,3.00,1.36,focused
1784612021.432,0.4613,0.3119,3.53,0.62,focused
1784612021.934,0.4748,0.3131,3.52,0.69,focused
1784612022.433,0.4710,0.3145,4.02,0.85,focused
1784612022.935,0.5084,0.3147,4.27,1.02,focused
1784612023.433,0.4741,0.3169,5.03,0.82,focused
1784612023.934,0.4888,0.3187,4.25,0.96,focused
1784612024.433,0.4670,0.3159,3.63,1.21,focused
1784612024.934,0.4334,0.3187,3.15,0.83,focused
1784612025.435,0.3966,0.3187,3.10,1.42,focused
1784612025.936,0.4783,0.3158,3.16,0.36,focused
1784612026.436,0.4784,0.3173,2.93,1.36,focused
1784612026.935,0.4215,0.3156,1.85,0.68,focused
1784612027.436,0.4800,0.3159,5.02,1.13,focused
1784612027.936,0.4289,0.3190,2.83,1.75,focused
1784612028.435,0.4129,0.3185,2.11,2.26,focused
