timestamp,ear,mar,pitch,yaw,state
1784612706.415,0.4548,0.3078,-1.32,2.05,focused
1784612706.747,0.4509,0.3109,-0.89,1.34,focused
1784612706.815,0.4617,0.3121,-0.95,1.13,focused
1784612707.148,0.4621,0.3143,0.14,1.22,focused
1784612707.615,0.4782,0.3120,-0.66,1.23,focused
1784612708.120,0.4849,0.3115,-2.64,0.17,focused
1784612708.619,0.4808,0.3082,-4.84,0.66,focused
1784612709.114,0.4690,0.3053,-5.45,0.82,focused
1784612709.618,0.4500,0.3104,-2.11,1.00,focused
1784612710.118,0.3295,0.3086,-4.83,0.18,focused
1784612710.614,0.4363,0.3054,-24.88,2.83,distracted
1784612711.118,0.4818,0.3148,-5.45,0.94,focused
1784612711.616,0.4701,0.3120,0.09,1.78,focused
1784612712.116,0.4540,0.3116,-1.58,2.85,focused
1784612712.614,0.4443,0.3084,-1.60,2.88,focused
1784612713.121,0.4515,0.3119,0.42,1.99,focused
1784612713.618,0.4499,0.3130,0.75,2.49,focused
1784612714.117,0.4758,0.3096,1.00,2.58,focused
1784612714.618,0.4677,0.3093,1.36,2.18,focused
1784612715.121,0.4732,0.3098,2.01,1.61,focused
1784612715.621,0.4712,0.3106,1.86,1.54,focused
1784612716.122,0.4732,0.3117,2.25,1.35,focused
1784612716.616,0.4858,0.3146,2.11,1.77,focused
1784612717.118,0.4855,0.3135,2.14,1.59,focused
1784612717.619,0.4637,0.3145,2.61,1.01,focused
1784612718.121,0.4834,0.3156,2.77,1.15,focused
1784612718.618,0.4836,0.3135,2.39,1.51,focused
1784612719.117,0.4817,0.3128,2.96,1.46,focused
1784612719.618,0.4687,0.3107,2.71,2.81,focused
1784612720.119,0.4965,0.3085,3.37,1.66,focused
1784612720.616,0.4755,0.3103,1.06,2.33,focused
1784612721.121,0.4607,0.3100,2.05,1.64,focused
1784612721.621,0.4483,0.3147,2.11,1.87,focused
1784612722.124,0.4609,0.3152,1.93,2.38,focused
1784612722.619,0.4502,0.3142,2.09,1.83,focused
1784612723.122,0.3793,0.3132,1.13,1.65,focused
1784612723.620,0.4356,0.3146,1.92,1.81,focused
1784612724.121,0.4421,0.3142,2.21,1.61,focused
1784612724.601,0.4480,0.3139,2.13,1.60,focused
1784612725.122,0.4599,0.3114,1.98,2.29,focused
1784612725.619,0.5182,0.3086,2.47,1.94,focused
1784612726.122,0.5186,0.3138,2.81,2.16,focused
1784612726.621,0.4815,0.2955,0.42,-2.41,focused
1784612727.124,0.4594,0.3011,-16.29,0.09,focused
1784612727.622,0.4713,0.3050,-14.14,-0.35,focused
1784612728.123,0.4751,0.2999,-1.62,-7.62,focused
1784612728.622,0.4965,0.3063,-0.55,-9.08,focused
1784612729.118,0.4332,0.2877,-11.59,-8.09,fatigued
1784612729.621,0.4044,0.2781,-24.07,-2.47,distracted
1784612730.123,0.4035,0.2717,-29.70,-2.95,distracted
1784612730.621,0.3834,0.2568,-32.34,-3.79,distracted
1784612731.117,0.3046,0.2667,-23.91,-1.85,distracted
1784612731.622,0.3398,0.2740,-20.44,-0.81,distracted
1784612732.124,0.3752,0.2808,-23.95,-1.22,distracted
1784612732.622,0.3661,0.2760,-27.01,-2.02,distracted
1784612733.122,0.3624,0.2685,-30.09,-1.33,distracted
1784612733.617,0.2606,0.2683,-29.75,-2.86,distracted
1784612734.123,0.1082,0.2593,-28.81,-2.26,distracted
1784612734.620,0.2498,0.2822,-23.04,-2.92,distracted
1784612735.121,0.3991,0.3175,-2.46,-3.64,focused
1784612735.622,0.3280,0.3332,-1.12,-0.76,focused
1784612736.123,0.1263,0.3403,-5.17,2.66,fatigued
1784612736.623,0.4468,0.3425,-2.32,1.28,focused
1784612737.120,0.5206,0.3287,4.74,2.36,focused
1784612737.620,0.5138,0.3315,-1.48,-0.20,focused
1784612738.122,0.4903,0.3211,0.14,-4.37,focused
1784612738.619,0.5285,0.3161,7.28,-12.91,focused
1784612739.117,0.4901,0.3184,5.18,-3.24,focused
1784612739.621,0.5176,0.3196,2.89,-2.71,focused
1784612740.118,0.4534,0.3171,2.17,-1.35,focused
1784612740.618,0.4369,0.3164,2.59,-1.08,focused
1784612741.121,0.4282,0.3140,2.16,-1.21,focused
1784612741.620,0.4402,0.3192,-3.75,-1.32,focused
1784612742.120,0.4034,0.3298,-6.44,1.66,focused
1784612742.618,0.4343,0.3361,-1.26,1.21,focused
1784612743.124,0.4294,0.3316,0.29,1.79,focused
