timestamp,ear,mar,pitch,yaw,state
1784614919.543,0.4239,0.3128,3.33,0.49,focused
1784614919.737,0.1329,0.3128,0.92,0.54,fatigued
1784614919.842,0.3554,0.3160,5.68,0.72,focused
1784614920.373,0.4833,0.3079,5.70,0.20,focused
1784614920.840,0.4756,0.3067,0.38,-0.04,focused
1784614921.371,0.4544,0.3062,-0.33,-0.15,focused
1784614921.843,0.4869,0.3092,3.86,-0.55,focused
1784614922.342,0.4721,0.3107,6.26,-0.48,focused
1784614922.842,0.4542,0.3093,4.78,-0.10,focused
1784614923.377,0.4837,0.3084,5.93,0.52,focused
1784614923.844,0.4738,0.3082,5.51,0.16,focused
1784614924.350,0.4459,0.3104,5.09,0.62,focused
1784614924.845,0.4503,0.3114,5.14,0.90,focused
1784614925.340,0.3099,0.3113,3.50,0.48,focused
1784614925.845,0.4877,0.3097,4.80,-0.43,focused
1784614926.343,0.4646,0.3051,1.35,0.23,focused
1784614926.841,0.4821,0.3000,-2.75,2.25,focused
1784614927.346,0.4066,0.2850,-25.38,1.74,distracted
1784614927.848,0.0000,0.0000,0.00,0.00,absent
1784614928.345,0.0000,0.0000,0.00,0.00,absent
1784614928.847,0.3888,0.3061,-12.03,1.50,focused
1784614929.344,0.3723,0.3265,5.63,-1.08,focused
1784614929.846,0.4777,0.3103,6.10,-1.15,focused
1784614930.344,0.4279,0.3160,8.09,-1.06,focused
1784614930.849,0.5145,0.3196,15.60,-4.42,focused
1784614931.332,0.4698,0.3204,9.75,-7.26,focused
1784614931.824,0.5233,0.3063,-6.14,-4.78,focused
1784614932.323,0.4275,0.3204,-5.18,-1.59,focused
1784614932.825,0.4172,0.3148,3.73,-1.42,focused
1784614933.345,0.4451,0.3164,0.52,-1.46,focused
1784614933.848,0.4694,0.2955,-16.80,-0.87,focused
1784614934.345,0.4058,0.3118,-7.86,-1.43,focused
1784614934.849,0.4256,0.3130,3.13,-1.70,focused
1784614935.343,0.3951,0.3234,5.50,-1.50,focused
1784614935.849,0.4588,0.3156,6.51,-1.74,focused
1784614936.341,0.4073,0.3236,7.25,-1.72,focused
1784614936.848,0.4871,0.3140,5.65,-0.86,focused
1784614937.346,0.4135,0.3248,5.32,-1.11,focused
